  MB  |      11266.10 |        3747.89 |    35013.07 |      3934.99 |   3.11 |   1.05 |
  MB  |       1431.85 |        3695.41 |     2826.23 |      3859.76 |   1.97 |   1.04 |
  MB  |      26345.94 |        6493.04 |    60773.88 |     26703.14 |   2.31 |   4.11 |
  MB  |      17767.44 |           0.01 |    28960.95 |       107.85 |   1.63 | 11183.90 |
  MB  |      11007.45 |        3751.21 |    34292.44 |      3913.49 |   3.12 |   1.04 |
  MB  |       1424.27 |        3698.73 |     2791.57 |      3834.67 |   1.96 |   1.04 |
  MB  |      26126.13 |        6433.20 |    59587.55 |     26067.71 |   2.28 |   4.05 |
  MB  |      17640.49 |           0.01 |    28387.41 |        59.62 |   1.61 | 4341.07 |
  MB  |      10759.59 |        3751.92 |    33585.63 |      3911.70 |   3.12 |   1.04 |
  MB  |       1392.26 |        3699.57 |     2662.43 |      3825.81 |   1.91 |   1.03 |
  MB  |      25965.26 |        6390.27 |    59207.48 |     25906.12 |   2.28 |   4.05 |
  MB  |      17524.60 |           0.01 |    28170.46 |        43.66 |   1.61 | 3193.70 |
  MB  |      10547.82 |        3748.43 |    32956.58 |      3905.40 |   3.12 |   1.04 |
  MB  |       1354.72 |        3695.16 |     2520.58 |      3821.02 |   1.86 |   1.03 |
  MB  |      26005.12 |        6354.13 |    59123.30 |     25744.73 |   2.27 |   4.05 |
  MB  |      17598.50 |           0.01 |    28220.11 |        36.69 |   1.60 | 3828.74 |
  MB  |      10376.87 |        3750.77 |    32475.69 |      3909.89 |   3.13 |   1.04 |
  MB  |       1348.31 |        3697.37 |     2488.40 |      3817.54 |   1.85 |   1.03 |
  MB  |      25991.69 |        6329.15 |    59202.93 |     25720.23 |   2.28 |   4.06 |
  MB  |      17584.42 |           0.01 |    28236.69 |        32.31 |   1.61 | 3372.28 |
  MB  |      10261.54 |        3749.57 |    32155.48 |      3912.05 |   3.13 |   1.04 |
  MB  |       1336.57 |        3695.63 |     2438.29 |      3813.07 |   1.82 |   1.03 |
  MB  |      25968.05 |        6307.83 |    59193.22 |     25628.80 |   2.28 |   4.06 |
  MB  |      17508.40 |           3.34 |    28135.40 |        32.73 |   1.61 |   9.80 |
  MB  |      10201.18 |        3754.70 |    32040.57 |      3920.41 |   3.14 |   1.04 |
  MB  |       1369.31 |        3700.47 |     2559.25 |      3817.92 |   1.87 |   1.03 |
  MB  |      25909.86 |        6285.48 |    59011.23 |     25436.79 |   2.28 |   4.05 |
  MB  |      17493.44 |           3.36 |    28169.76 |        30.88 |   1.61 |   9.20 |
  MB  |      10119.72 |        3755.50 |    31770.12 |      3926.85 |   3.14 |   1.05 |
  MB  |       1340.51 |        3700.27 |     2450.41 |      3817.12 |   1.83 |   1.03 |
